0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
47   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /usr/local/Cellar/solr/4.8.1/libexec/example/contexts at interval 0
67   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /usr/local/Cellar/solr/4.8.1/libexec/example/contexts/solr-jetty-context.xml
2012 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
4119 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
4169 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrCore  – Hard AutoCommit: disabled
4170 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
4243 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/Users/ankittharwani/Work/os/solr/data/core0/data/index,segFN=segments_1,generation=1}
4244 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/Users/ankittharwani/Work/os/solr/data/core1/data/index,segFN=segments_1,generation=1}
4245 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
4244 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/Users/ankittharwani/Work/os/solr/data/bdddatalineage/data/index,segFN=segments_2,generation=2}
4245 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 2
4244 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
4276 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@2bf465f9[core0] main
4277 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@75686c9b[core1] main
4303 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /Users/ankittharwani/Work/os/solr/data/core0/conf
4304 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/Users/ankittharwani/Work/os/solr/data/core0/conf/}
4303 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /Users/ankittharwani/Work/os/solr/data/core1/conf
4305 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/Users/ankittharwani/Work/os/solr/data/core1/conf/}
4324 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/Users/ankittharwani/Work/os/solr/data/core1/conf
4325 [coreLoadExecutor-4-thread-2] WARN  org.apache.solr.rest.ManagedResource  – No stored data found for /rest/managed
4325 [coreLoadExecutor-4-thread-2] WARN  org.apache.solr.rest.ManagedResource  – No registered observers for /rest/managed
4325 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/Users/ankittharwani/Work/os/solr/data/core0/conf
4326 [coreLoadExecutor-4-thread-1] WARN  org.apache.solr.rest.ManagedResource  – No stored data found for /rest/managed
4328 [coreLoadExecutor-4-thread-1] WARN  org.apache.solr.rest.ManagedResource  – No registered observers for /rest/managed
4329 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
4329 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
4356 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [core0] Registered new searcher Searcher@2bf465f9[core0] main{StandardDirectoryReader(segments_1:1:nrt)}
4356 [searcherExecutor-7-thread-1] INFO  org.apache.solr.core.SolrCore  – [core1] Registered new searcher Searcher@75686c9b[core1] main{StandardDirectoryReader(segments_1:1:nrt)}
4356 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: core0
4356 [coreLoadExecutor-4-thread-2] INFO  org.apache.solr.core.CoreContainer  – registering core: core1
4375 [coreLoadExecutor-4-thread-3] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@23c59dfc[bdddatalineage] main
